Parameter 1,Parameter 2,S2 Estimate
cs,x6,0.3037357954557643
cs,hks,0.1714705567493419
cs,H2,0.1695118345948245
Es,cs,0.1683548589884683
rhos,cs,0.1536389345917448
H2,x6,0.1451264488867764
loadb,cs,0.1392588881603756
nus,cs,0.1365340680194967
cs,epss,0.1348833519174066
Es,x6,0.1329325042997587
cs,thetass,0.132604980235084
cs,phis,0.1270535852745009
rhos,H2,0.1268798990558579
rhos,phis,0.1219305956408343
phis,H2,0.1204918794426121
